등록번호,청구기호,서명,저자,발행자,발행년,가격
BRP000452604,325.211-엘235ㅁ,"미라클 이퀘이션 : 미라클 모닝 그 후, 지속 가능한 기적의 공식",할 엘로드 지음 ; 김잔디 옮김,한빛비즈,2020,"15,000"
BRP000452605,181.7-홀822ㅁ,민감한 사람을 위한 감정 수업 : 격렬한 감정에 압도당하지 않는 8가지 방법,캐린 홀 지음 ; 신솔잎 옮김,빌리버튼,2020,"16,000"
BRP000452606,100-알837ㅂ,비철학자들을 위한 철학 입문,루이 알튀세르 지음 ; 안준범 옮김 ; 진태원 해제,현실문화,2019,"22,000"
BRP000452607,189.2-라71ㅅ,사과에 대하여 : 왜 사과는 생각보다 힘들고 복잡하고 어려운가,아론 라자르 지음 ; 윤창현 옮김,바다,2020,"14,800"
BRP000452608,331.1-치61ㅅ,사회심리학 : 마음과 행동을 결정하는 사회적 상황의 힘,"로버트 치알디니,더글러스 켄릭,스티븐 뉴버그 지음 ; 김아영 옮김",웅진지식하우스:웅진씽크빅,2020,"33,000"
BRP000452609,001.3-세14,세계로 떠나는 인문학 : 인문학자 11인의 철학·문화·역사 이야기,권영우 외 지음,HUINE,2020,"16,000"
BRP000452610,104-치237ㅅ,세계의 리더들이 논리학을 배우는 이유 : 리더들의 성공비결 논리학을 주목하라!,치루루 지음 ; 권소현 옮김,HCbooks(힘찬북스),2019,"14,800"
BRP000452611,160.23-플231ㅅ,소크라테스의 변명·파이돈·크리톤·향연 : 플라톤의 대화편 : 죽음으로 완성시킨 소크라테스의 진리,플라톤 지음 ;  강윤철 옮김,스타북스,2020,"12,000"
BRP000452612,818-조17ㅅ,시험 시간에 웃은 건 처음이에요 : 용정중학교 학생과 교사가 함께 만들어 가는 희망찬 응원가,조규선 지음,살림터,2019,"15,000"
BRP000452613,189.2-부67ㅅ,심리학 덕분에 사회생활이 편해졌습니다 : 필요할 때 바로 써먹는 실전 심리학,부웨이신 지음 ; 임지영 옮김,행성B(행성비),2019,"15,000"
BRP000452614,325.211-사55ㅆ,쓸모 있는 생각 설계 : 직감과 논리를 이어주는 사고법,사소 쿠니타케 지음 ; 김윤희 옮김,토네이도,2020,"15,000"
BRP000452615,160.24-아239ㅇ,아리스토텔레스 수사학,아리스토텔레스 [지음] ; 박문재 옮김,현대지성,2020,"14,000"
BRP000452616,151.581-정62ㅇ,아버지 정약용의 인생강의,정약용 지음 ; 오세진 편역,홍익출판사,2020,"15,800"
BRP000452617,189-권57ㅇ,약한 게 아니라 아팠던 것이다 : 무례한 세상에 지지 않는 심리학 법칙,권순재 지음,생각의길:아름다운사람들,2019,"15,000"
BRP000452618,199.1-박225ㅇ,여기쯤에서 나를 만난다,박돈규 지음,더좋은책,2020,"14,800"
BRP000452619,160.24-홀63ㅇ,열 번의 산책 : 아리스토텔레스의 철학과 함께하는 행복에 대한 사색,에디스 홀 지음 ; 박세연 옮김,예문아카이브,2020,"18,000"
BRP000452620,513.854-쇼77ㅇ,우리 안의 악마 : 어두운 인간 본성에 관한 도발적인 탐구,줄리아 쇼 지음 ; 김성훈 옮김,현암사,2020,"17,000"
BRP000452621,173-일239ㅇ,인간의 사고를 어떻게 이해할 것인가? : 변증법적 논리학의 역사와 이론,"예발트 일리옌코프 지음 ; 우기동,이병수 옮김",책갈피,2019,"17,000"
BRP000452622,160-디228ㅈ,자연의 해석에 대한 단상들,드니 디드로 지음 ; 이충훈 옮김,비(도서출판b),2020,"10,000"
BRP000452623,199.1-김79ㅈ,"자존가들 : 불안의 시대, 자존의 마음을 지켜 낸 인생 철학자 17인의 말 : 김지수 인터뷰집",김지수 지음,어떤책,2020,"16,000"
BRP000452624,181.1-롭58ㅈ,지능의 함정 : 똑똑한 당신이 어리석은 실수를 하는 이유와 지혜의 기술,데이비드 롭슨 지음 ; 이창신 옮김,김영사,2020,"17,800"
BRP000452625,181.53-에228ㅊ,창조성에 관한 7가지 감각 : 하버드 비스 연구소 창조성 강의,데이비드 에드워즈 지음 ; 박세연 옮김,어크로스,2020,"16,000"
BRP000452626,193-아233ㅊ,책임과 판단,한나 아렌트 지음 ; 서유경 옮김,필로소픽,2019,"26,000"
BRP000452627,109-사41ㅊ,"철학, 최대한 쉽게 설명해 드립니다 : 스스로 생각하는 힘을 키워 주는 철학 교양서",페르난도 사바테르 지음 ; 유혜경 옮김,이화북스,2019,"13,800"
BRP000452628,188.7-민94ㅌ,"타로 스퀘어=Tarot square : 인생의 사각지대에서, 타로의 지혜를 만나다",민혜련 지음,의미와 재미,2020,"16,000"
BRP000452629,001.3-이221ㅍ,패스트푸드 인문학 : 아는 척하기 좋은 실전 지식 54,이다온 지음,시대인,2020,"15,000"
BRP000452630,185.5-정225ㅍ,프로이트의 의자 : 숨겨진 나와 마주하는 정신분석 이야기,정도언 지음,지와인,2020,"14,800"
BRP000452631,364.244-최53ㅍ,피해자다움이란 무엇인가 : 성범죄 재판에 대한 철학자의 성찰,최성호 지음,필로소픽,2019,"15,000"
BRP000452632,170-콰69ㅎ,하버드 논리학 수업 : 하버드 대학교 전설적 철학 교수의 기초 논리학 강의,윌러드 밴 오먼 콰인 지음 ; 성소희 옮김,유엑스리뷰(UXREVIEW),2020,"25,000"
BRP000452633,591.7-루839ㅎ,하버드 사랑학 수업 : 사랑의 시작과 끝에서 불안한 당신에게,마리 루티 지음 ; 권상미 옮김,웅진지식하우스:웅진씽크빅,2020,"16,000"
BRP000452634,711.4-첸231ㅎ,한자에서 인생을 배우는 인문학 강의,첸란 지음,프로방스,2020,"15,000"
